"","project.ref","id","text","percentage","encodedText"
"49","EP/V04818X/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",100,"Optics%2C+photonics+%26+lasers"
"50","EP/H035362/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",100,"Catalysis+%26+surfaces"
"51","EP/G004625/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"52","EP/T018178/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"53","EP/J015202/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",25,"Biomolecules+%26+biochemistry"
"54","EP/J015202/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",25,"Catalysis+%26+surfaces"
"55","EP/J015202/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",25,"Materials+sciences"
"56","EP/J015202/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",25,"Optics%2C+photonics+%26+lasers"
"57","EP/G056404/1","97FC8337-8E84-46A6-ACF2-A6047DA8C582","Environmental Engineering",100,"Environmental+Engineering"
"58","EP/M002837/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",34,"Info.+%26+commun.+Technol."
"59","EP/M002837/1","53F27348-198B-4AEF-A34B-8307067F507C","Systems engineering",66,"Systems+engineering"
"60","EP/D061709/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"61","EP/R006911/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"62","EP/N028228/1","608431EA-925E-44D8-A1E2-8C24B4768085","Design",10,"Design"
"63","EP/N028228/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",70,"Info.+%26+commun.+Technol."
