"","project.ref","id","text","percentage","encodedText"
"1927","EP/H016139/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",50,"Mathematical+sciences"
"1928","EP/H016139/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",25,"Tools%2C+technologies+%26+methods"
"1929","EP/S027491/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",90,"Info.+%26+commun.+Technol."
"1930","EP/I023186/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1931","EP/M507143/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"1932","EP/L026031/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1933","DT/E005411/1","5CBA14F4-F235-45B6-A9DD-5937D5C166CC","Electrical Engineering",50,"Electrical+Engineering"
"1934","DT/E005411/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",50,"Energy"
"1935","EP/G000190/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"1936","EP/R011753/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"1937","EP/D06290X/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",100,"Supercond%2C+magn.+%26quant.fluids"
"1938","EP/H00369X/1","C88380A2-9C65-425D-B4FB-4E289FACB800","Atomic & molecular physics",30,"Atomic+%26+molecular+physics"
"1939","EP/H00369X/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",40,"Materials+sciences"
"1940","EP/H00369X/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",30,"Supercond%2C+magn.+%26quant.fluids"
"1941","EP/R030065/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",55,"Biomolecules+%26+biochemistry"
"1942","EP/R030065/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",15,"Catalysis+%26+surfaces"
"1943","EP/R030065/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",10,"Civil+eng.+%26+built+environment"
"1944","EP/R030065/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",20,"Materials+sciences"
"1945","EP/D05012X/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1946","EP/J009318/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",70,"Info.+%26+commun.+Technol."
"1947","EP/J009318/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",30,"Materials+sciences"
"1948","EP/F030215/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1949","EP/J022144/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",25,"Medical+%26+health+interface"
"1950","EP/J022144/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",75,"Tools%2C+technologies+%26+methods"
"1951","EP/F054343/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1952","EP/S013393/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",40,"Biomolecules+%26+biochemistry"
"1953","EP/S013393/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",20,"Catalysis+%26+surfaces"
"1954","EP/S013393/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",20,"Chemical+synthesis"
"1955","EP/S013393/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",20,"Materials+sciences"
"1956","EP/R029393/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1957","EP/F028784/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",75,"Materials+sciences"
"1958","EP/F028784/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",25,"Supercond%2C+magn.+%26quant.fluids"
"1959","EP/V047469/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"1960","EP/H046305/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",80,"Catalysis+%26+surfaces"
"1961","EP/H046305/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",20,"Energy"
"1962","EP/R022275/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",60,"Civil+eng.+%26+built+environment"
"1963","EP/R022275/1","6BF947B0-8E6E-48DB-AB68-7130938F2DF2","Instrument. sensor & detectors",10,"Instrument.+sensor+%26+detectors"
"1964","EP/R022275/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",10,"Mechanical+Engineering"
"1965","EP/R022275/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",20,"Process+engineering"
"1966","EP/I003223/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"1967","EP/F056400/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",10,"Catalysis+%26+surfaces"
"1968","EP/F056400/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",40,"Materials+Processing"
"1969","EP/F056400/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"1970","EP/N01300X/2","53F27348-198B-4AEF-A34B-8307067F507C","Systems engineering",50,"Systems+engineering"
"1971","EP/J003875/1","C88380A2-9C65-425D-B4FB-4E289FACB800","Atomic & molecular physics",100,"Atomic+%26+molecular+physics"
"1972","EP/J009830/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1973","EP/T024771/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",78,"Info.+%26+commun.+Technol."
"1974","EP/T024771/1","B94A2498-60DA-4055-A957-686B6CB42654","Linguistics",22,"Linguistics"
"1975","EP/E044506/1","5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0","Management & Business Studies",67,"Management+%26+Business+Studies"
"1976","EP/E044506/1","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",33,"Manufacturing"
"1977","EP/E034950/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",50,"Info.+%26+commun.+Technol."
"1978","EP/E034950/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",50,"Medical+%26+health+interface"
"1979","EP/F019165/1","A442BF36-F335-483E-9282-F3BB48AC2C47","Cell biology",25,"Cell+biology"
"1980","EP/F019165/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",25,"Info.+%26+commun.+Technol."
"1981","EP/F019165/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",25,"Optics%2C+photonics+%26+lasers"
"1982","EP/F019165/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",25,"Tools%2C+technologies+%26+methods"
"1983","EP/S020160/1","6BF947B0-8E6E-48DB-AB68-7130938F2DF2","Instrument. sensor & detectors",10,"Instrument.+sensor+%26+detectors"
"1984","EP/I50205X/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"1985","EP/H024859/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",20,"Mechanical+Engineering"
"1986","EP/H024859/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",80,"Medical+%26+health+interface"
"1987","EP/V048236/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"1988","EP/K014803/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",100,"Process+engineering"
"1989","EP/F021615/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",50,"Mechanical+Engineering"
"1990","EP/F021615/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",50,"Process+engineering"
"1991","EP/F044666/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1992","EP/F048750/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",50,"Supercond%2C+magn.+%26quant.fluids"
"1993","EP/F048750/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",50,"Tools%2C+technologies+%26+methods"
"1994","EP/G01034X/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1995","EP/E000517/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"1996","EP/D066573/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",25,"Biomolecules+%26+biochemistry"
"1997","EP/D066573/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",25,"Info.+%26+commun.+Technol."
"1998","EP/D066573/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",50,"Medical+%26+health+interface"
"1999","EP/E061222/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",100,"Supercond%2C+magn.+%26quant.fluids"
"2000","EP/V052241/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",50,"Info.+%26+commun.+Technol."
"2001","EP/V052241/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",50,"Medical+%26+health+interface"
"2002","EP/S031669/1","17F21DBC-4946-4262-AD07-9914F6EA12F7","Bioengineering",70,"Bioengineering"
"2003","EP/S031669/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",30,"Medical+%26+health+interface"
"2004","EP/R008035/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",30,"Mechanical+Engineering"
"2005","EP/R008035/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",70,"Process+engineering"
"2006","EP/V036386/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",20,"Biomolecules+%26+biochemistry"
"2007","EP/V036386/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",55,"Materials+sciences"
"2008","EP/V036386/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",25,"Optics%2C+photonics+%26+lasers"
"2009","EP/M009408/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2010","EP/T024275/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",20,"Biomolecules+%26+biochemistry"
"2011","EP/T024275/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",20,"Catalysis+%26+surfaces"
"2012","EP/T024275/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",60,"Chemical+synthesis"
"2013","EP/V002945/1","895D1683-DC4B-4292-BBC6-EC38672BFD10","RCUK Programmes",0,"RCUK+Programmes"
"2014","EP/S008101/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"2015","EP/R035393/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",70,"Info.+%26+commun.+Technol."
"2016","EP/R035393/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",30,"Materials+sciences"
"2017","EP/F023456/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",30,"Catalysis+%26+surfaces"
"2018","EP/F023456/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",25,"Chemical+synthesis"
"2019","EP/F023456/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",15,"Materials+sciences"
"2020","EP/F023456/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",30,"Process+engineering"
"2021","EP/L022192/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",20,"Catalysis+%26+surfaces"
"2022","EP/L022192/1","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",30,"Manufacturing"
"2023","EP/L022192/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",50,"Materials+Processing"
"2024","EP/E009263/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"2025","EP/P017193/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2026","EP/N007034/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",100,"Chemical+measurement"
"2027","EP/N022009/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"2028","EP/H026371/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",100,"Materials+Processing"
"2029","EP/F069685/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",70,"Chemical+synthesis"
"2030","EP/F069685/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",30,"Process+engineering"
"2031","EP/E03991X/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"2032","EP/J004081/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"2033","EP/T030089/1","895D1683-DC4B-4292-BBC6-EC38672BFD10","RCUK Programmes",0,"RCUK+Programmes"
"2034","EP/J019593/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2035","EP/D053102/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",50,"Biomolecules+%26+biochemistry"
"2036","EP/D053102/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",50,"Optics%2C+photonics+%26+lasers"
"2037","EP/F049838/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",100,"Chemical+synthesis"
"2038","EP/E010164/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"2039","EP/P006299/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"2040","EP/R030073/1","5CBA14F4-F235-45B6-A9DD-5937D5C166CC","Electrical Engineering",20,"Electrical+Engineering"
"2041","EP/R030073/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",80,"Info.+%26+commun.+Technol."
"2042","EP/I002952/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"2043","EP/J001392/1","C88380A2-9C65-425D-B4FB-4E289FACB800","Atomic & molecular physics",50,"Atomic+%26+molecular+physics"
"2044","EP/J001392/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",50,"Optics%2C+photonics+%26+lasers"
"2045","EP/G04239X/1","8C42F55F-1A1F-4ACE-B264-F6697518680A","Plasma physics",100,"Plasma+physics"
"2046","EP/K007734/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",40,"Materials+Processing"
"2047","EP/K007734/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",60,"Materials+sciences"
"2048","EP/F03850X/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",50,"Materials+Processing"
"2049","EP/F03850X/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"2050","EP/L024918/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"2051","EP/I013520/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",100,"Supercond%2C+magn.+%26quant.fluids"
"2052","EP/G007489/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",100,"Supercond%2C+magn.+%26quant.fluids"
"2053","EP/T026308/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",90,"Biomolecules+%26+biochemistry"
"2054","EP/T026308/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",10,"Chemical+synthesis"
"2055","EP/L022907/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"2056","EP/F025483/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",100,"Mechanical+Engineering"
"2057","EP/E052851/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2058","EP/F022832/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"2059","EP/T023635/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",40,"Biomolecules+%26+biochemistry"
"2060","EP/T023635/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",20,"Info.+%26+commun.+Technol."
"2061","EP/T023635/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",20,"Materials+sciences"
"2062","EP/T023635/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",20,"Mechanical+Engineering"
"2063","EP/P004830/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",100,"Supercond%2C+magn.+%26quant.fluids"
"2064","EP/L023717/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",90,"Info.+%26+commun.+Technol."
"2065","EP/L023717/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",10,"Mathematical+sciences"
"2066","EP/F014058/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"2067","EP/L010615/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",30,"Chemical+measurement"
"2068","EP/L010615/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",70,"Chemical+synthesis"
"2069","EP/M015653/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"2070","EP/F065965/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",10,"Civil+eng.+%26+built+environment"
"2071","EP/F065965/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",15,"Info.+%26+commun.+Technol."
"2072","EP/F065965/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",40,"Mechanical+Engineering"
"2073","EP/F065965/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",35,"Tools%2C+technologies+%26+methods"
"2074","EP/L021366/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",10,"Biomolecules+%26+biochemistry"
"2075","EP/L021366/1","666CC8F4-4525-49AF-91C1-5675E0C8ADDF","Chem. React. Dyn. & mechanisms",90,"Chem.+React.+Dyn.+%26+mechanisms"
"2076","EP/P030688/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",75,"Energy"
"2077","EP/M002780/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",50,"Info.+%26+commun.+Technol."
"2078","EP/M002780/1","5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0","Management & Business Studies",50,"Management+%26+Business+Studies"
"2079","EP/G024979/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2080","EP/H05183X/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",50,"Energy"
"2081","EP/H05183X/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",50,"Mathematical+sciences"
"2082","EP/F032773/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",25,"Biomolecules+%26+biochemistry"
"2083","EP/F032773/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",75,"Supercond%2C+magn.+%26quant.fluids"
"2084","EP/E065902/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"2085","EP/E065902/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",50,"Mechanical+Engineering"
"2086","EP/D057620/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",100,"Tools%2C+technologies+%26+methods"
"2087","EP/D04829X/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",25,"Catalysis+%26+surfaces"
"2088","EP/D04829X/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",75,"Process+engineering"
"2089","EP/G068720/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2090","EP/J008419/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",100,"Mechanical+Engineering"
"2091","EP/D063329/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",100,"Catalysis+%26+surfaces"
"2092","EP/K035355/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",70,"Catalysis+%26+surfaces"
"2093","EP/K035355/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",10,"Energy"
"2094","EP/K035355/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",20,"Materials+sciences"
"2095","EP/G048886/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",100,"Medical+%26+health+interface"
"2096","EP/F038356/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"2097","EP/F038356/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",25,"Supercond%2C+magn.+%26quant.fluids"
"2098","EP/F038356/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",25,"Tools%2C+technologies+%26+methods"
"2099","EP/E041337/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",100,"Chemical+synthesis"
"2100","EP/D06497X/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2101","EP/K039520/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",100,"Chemical+measurement"
"2102","EP/M02220X/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",35,"Catalysis+%26+surfaces"
"2103","EP/M02220X/1","666CC8F4-4525-49AF-91C1-5675E0C8ADDF","Chem. React. Dyn. & mechanisms",35,"Chem.+React.+Dyn.+%26+mechanisms"
"2104","EP/M02220X/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",30,"Chemical+synthesis"
"2105","EP/V048201/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"2106","EP/V047701/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",30,"Materials+sciences"
"2107","EP/V047701/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",70,"Supercond%2C+magn.+%26quant.fluids"
"2108","EP/F05890X/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",50,"Energy"
"2109","EP/F05890X/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"2110","EP/D074746/1","AEB7EC61-1574-4583-8B00-BD32275F29A6","Complexity Science",25,"Complexity+Science"
"2111","EP/D074746/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",50,"Mathematical+sciences"
"2112","EP/D074746/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",25,"Medical+%26+health+interface"
"2113","EP/I010610/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",90,"Mathematical+sciences"
"2114","EP/I010610/1","9C124926-5968-486F-9B51-CCEB6C4E9650","Particle physics - theory",10,"Particle+physics+-+theory"
"2115","EP/R01938X/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"2116","EP/P009565/1","C88380A2-9C65-425D-B4FB-4E289FACB800","Atomic & molecular physics",50,"Atomic+%26+molecular+physics"
"2117","EP/P009565/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",50,"Optics%2C+photonics+%26+lasers"
"2118","EP/D080088/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"2119","EP/J016438/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",25,"Info.+%26+commun.+Technol."
"2120","EP/J016438/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",75,"Mechanical+Engineering"
"2121","EP/V006177/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",80,"Info.+%26+commun.+Technol."
"2122","EP/V006177/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",20,"Mathematical+sciences"
"2123","EP/F022808/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"2124","EP/F022808/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",50,"Supercond%2C+magn.+%26quant.fluids"
"2125","EP/E022928/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",20,"Mathematical+sciences"
"2126","EP/E022928/1","9C124926-5968-486F-9B51-CCEB6C4E9650","Particle physics - theory",80,"Particle+physics+-+theory"
"2127","EP/G063737/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",100,"Chemical+synthesis"
"2128","EP/K003151/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",0,"Materials+sciences"
"2129","EP/J002011/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"2130","EP/G059101/1","AEB7EC61-1574-4583-8B00-BD32275F29A6","Complexity Science",20,"Complexity+Science"
"2131","EP/G059101/1","5CBA14F4-F235-45B6-A9DD-5937D5C166CC","Electrical Engineering",50,"Electrical+Engineering"
"2132","EP/G059101/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",30,"Mathematical+sciences"
"2133","EP/E064450/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",100,"Optics%2C+photonics+%26+lasers"
"2134","EP/R043787/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",60,"Chemical+synthesis"
"2135","EP/R043787/1","53F27348-198B-4AEF-A34B-8307067F507C","Systems engineering",40,"Systems+engineering"
"2136","EP/G060932/1","8C42F55F-1A1F-4ACE-B264-F6697518680A","Plasma physics",100,"Plasma+physics"
