name,proportion_male,count
alper,0.97,21857
alpesh,0.98,208
altin,0.95,1492
alton,0.98,240
alun,0.98,293
aluna,0.13,62
alvaro,0.99,37584
alvin,0.99,7714
alvina,0.030000000000000027,471
alwani,0.6,15
alwyn,0.95,253
alyona,0.010000000000000009,1851
alys,0.06999999999999995,320
alyshia,0,17
alyssajennifer,NA,NA
ama,0.33999999999999997,2854
amalia,0.020000000000000018,7700
amalio,0.97,197
aman,0.91,4175
amand,0.42000000000000004,281
amanda,0.020000000000000018,49026
amandajane,0,4
amanuel,1,239
amanz,1,4
amar,0.93,9555
amara,0.61,2505
amare,0.82,165
amaresh,0.96,47
amarja,NA,NA
amarpal,1,17
amatullah,0.07999999999999996,12
amber,0.050000000000000044,5248
ambrose,0.97,618
ambrosius,1,36
ambrus,0.72,225
amedeo,0.99,3354
ameer,0.97,2613
ameet,0.97,103
amel,0.07999999999999996,14130
amelia,0.020000000000000018,9165
amelle,0.030000000000000027,367
amende,0.07999999999999996,13
amer,0.97,6536
amged,0.97,140
amie,0.10999999999999999,1622
amihay,1,5
amii,0.15000000000000002,189
amin,0.97,18042
amina,0.020000000000000018,20615
amir,0.98,31516
amira,0.030000000000000027,11084
amirabbas,0.96,50
amirhossein,0.98,389
amirul,0.99,520
amit,0.99,8292
amitabh,0.99,133
amitabha,0.96,24
ammar,0.97,6181
ammarah,0,11
ammon,0.81,54
amna,0.030000000000000027,1115
amnesty,0.75,12
amos,0.97,3088
amparo,0.020000000000000018,9043
amr,0.98,9475
amran,0.84,409
amrie,0.66,32
amrita,0.030000000000000027,373
amy,0.030000000000000027,31233
ana,0.020000000000000018,273767
anaëlle,NA,NA
anahid,0.030000000000000027,108
anamaria,0.020000000000000018,3355
anamul,1,31
anand,0.99,2738
ananda,0.39,981
anant,0.98,324
anas,0.73,17812
anastasia,0.020000000000000018,22207
anastasios,0.99,843
anastasis,0.98,201
anatasia,0,26
anatoliy,0.99,1183
anatoly,1,1057
anca,0.040000000000000036,9304
andela,0.030000000000000027,232
ander,0.98,3339
anders,0.99,12623
andor,0.96,622
andras,0.92,985
andre,0.95,64369
andré,NA,NA
andrea,0.62,302977
andreas,0.99,71365
andree,0.47,2709
andreea,0.030000000000000027,23228
andreeamaria,0,1
andrei,0.97,21506
andreiclaudiu,NA,NA
andrej,0.99,7941
andres,0.98,46013
andrés,NA,NA
andrew,0.99,60301
andrey,0.99,16822
andriana,0.040000000000000036,725
andrius,0.99,1559
andriy,1,1617
androulla,0,34
andruis,1,2
andrzej,0.99,40041
andy,0.92,66103
aneeqa,0.050000000000000044,20
aneesa,0.020000000000000018,124
aneirin,1,4
aneta,0.020000000000000018,46548
anette,0.020000000000000018,4784
aneurin,1,13
angel,0.68,105060
angela,0.010000000000000009,106685
angelantonio,1,66
angelica,0.010000000000000009,17941
angelika,0.020000000000000018,26127
angeliki,0.020000000000000018,342
angelina,0.010000000000000009,23487
angéline,NA,NA
angelo,0.98,73455
angelos,0.98,978
angharad,0.040000000000000036,147
angie,0.020000000000000018,19094
angus,0.89,1416
anh,0.7,1130
ania,0.020000000000000018,62188
aniekanabasi,1,2
aniello,1,1954
anil,0.97,6560
animesh,0.99,191
anina,0.020000000000000018,729
anirudh,0.98,239
anish,0.96,790
anisha,0.030000000000000027,421
anita,0.020000000000000018,66163
anitha,0.020000000000000018,513
anja,0.020000000000000018,28930
anjana,0.18000000000000005,296
anji,0.26,308
anjuli,0,49
anke,0.030000000000000027,6368
ankit,0.99,2730
ankur,0.99,1277
ankush,0.99,550
anmol,0.84,283
ann,0.030000000000000027,28026
anna,0.020000000000000018,383713
annabel,0.020000000000000018,1942
annabelle,0.020000000000000018,6109
annabeth,0,23
annachiara,0.010000000000000009,571
annagrace,0,8
annakarin,0,41
annalaura,0.010000000000000009,439
annalena,0.030000000000000027,892
annalisa,0.010000000000000009,13022
annalise,0.020000000000000018,144
annalu,0,30
anne,0.030000000000000027,78727
annekathrin,0.06000000000000005,109
anneke,0.010000000000000009,3254
annela,0.030000000000000027,32
annelouise,0,18
annemarie,0.020000000000000018,3586
annemarieke,0,35
